Date,Year,Quarter,Month,Week,Weekday,Day,DayOfYear,Revenue,PreChristmas,WeekdayRevenue_mean,WeekdayRevenue_median,WeekdayRevenue_IQR,MonthRevenue_mean,MonthRevenue_median,MonthRevenue_IQR,QuarterRevenue_mean,QuarterRevenue_median,QuarterRevenue_IQR,PreChristmasRevenue_mean,PreChristmasRevenue_std,RevenueLag_7d,RevenueLag_14d,RevenueLag_30d,RollingMean_7d,RollingStd_7d,RollingMax_7d,RollingMean_30d,RollingStd_30d,RollingMax_30d,UniqueCustomers
2009-12-01,2009,4,12,49,1,1,335,21298.86,1,13113.015434782608,11743.48,5727.402499999998,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,21298.86,0.0,21298.86,21298.86,0.0,21298.86,79.0
2009-12-02,2009,4,12,49,2,2,336,20808.35,1,12825.815108695651,11861.09,5986.35,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,21298.86,0.0,21298.86,21298.86,0.0,21298.86,86.0
2009-12-03,2009,4,12,49,3,3,337,27590.83,1,15515.356263736263,14734.26,5065.914999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,21053.605,346.84294723981486,21298.86,21053.605,346.84294723981486,21298.86,96.0
2009-12-04,2009,4,12,49,4,4,338,19471.45,1,9768.523076923077,8949.55,4758.65,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,23232.680000000004,3782.2286527786773,27590.83,23232.680000000004,3782.2286527786773,27590.83,69.0
2009-12-07,2009,4,12,50,0,7,341,18349.83,1,11214.961758241758,11278.44,5378.174999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,22292.3725,3615.736232013015,27590.83,22292.3725,3615.736232013015,27590.83,69.0
2009-12-08,2009,4,12,50,1,8,342,22719.3,1,13113.015434782608,11743.48,5727.402499999998,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,21503.864,3593.5900778302475,27590.83,21503.864,3593.5900778302475,27590.83,72.0
2009-12-09,2009,4,12,50,2,9,343,16452.29,1,12825.815108695651,11861.09,5986.35,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,21706.436666666665,3252.280097049864,27590.83,21706.436666666665,3252.280097049864,27590.83,67.0
2009-12-10,2009,4,12,50,3,10,344,20138.91,1,15515.356263736263,14734.26,5065.914999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,21298.86,21298.86,21298.86,20955.844285714287,3571.856750738367,27590.83,20955.844285714287,3571.856750738367,27590.83,74.0
2009-12-11,2009,4,12,50,4,11,345,15029.210000000001,1,9768.523076923077,8949.55,4758.65,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,20808.35,21298.86,21298.86,20790.13714285714,3580.1879311320818,27590.83,20853.7275,3319.486251355128,27590.83,51.0
2009-12-14,2009,4,12,51,0,14,348,18359.15,1,11214.961758241758,11278.44,5378.174999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,27590.83,21298.86,21298.86,19964.545714285716,4189.733784740415,27590.83,20206.55888888889,3662.1114472645577,27590.83,62.0
2009-12-15,2009,4,12,51,1,15,349,18429.95,1,13113.015434782608,11743.48,5727.402499999998,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,19471.45,21298.86,21298.86,18645.734285714287,2502.180829662113,22719.3,20021.818,3501.747336211198,27590.83,76.0
2009-12-16,2009,4,12,51,2,16,350,21788.65,1,12825.815108695651,11861.09,5986.35,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,18349.83,21298.86,21298.86,18496.948571428573,2475.723783788146,22719.3,19877.102727272726,3356.5426524568134,27590.83,77.0
2009-12-17,2009,4,12,51,3,17,351,17619.64,1,15515.356263736263,14734.26,5065.914999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,22719.3,21298.86,21298.86,18988.20857142857,2765.8497557798805,22719.3,20036.398333333334,3247.5626898864366,27590.83,72.0
2009-12-18,2009,4,12,51,4,18,352,10503.84,1,9768.523076923077,8949.55,4758.65,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,16452.29,21298.86,21298.86,18259.685714285715,2241.1405965851222,21788.65,19850.493846153848,3180.7327810756087,27590.83,42.0
2009-12-21,2009,4,12,52,0,21,355,4394.85,1,11214.961758241758,11278.44,5378.174999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,20138.91,21298.86,21298.86,17409.907142857144,3696.1210562458355,21788.65,19182.875714285714,3947.0015380241284,27590.83,24.0
2009-12-22,2009,4,12,52,1,22,356,1720.8200000000002,1,13113.015434782608,11743.48,5727.402499999998,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,15029.210000000001,20808.35,21298.86,15160.755714285715,5894.932088548204,21788.65,18197.00733333333,5389.3501622120675,27590.83,14.0
2009-12-23,2009,4,12,52,2,23,357,1870.5900000000001,1,12825.815108695651,11861.09,5986.35,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,18359.15,27590.83,21298.86,13259.557142857144,7786.8909247609145,21788.65,17167.245625,6638.923279272495,27590.83,9.0
2009-12-24,2009,4,12,52,3,24,358,0.0,1,15515.356263736263,14734.26,5065.914999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,18472.715436893202,8320.315625515277,18429.95,19471.45,21298.86,10904.048571428571,8452.591343356253,21788.65,16267.442352941178,7421.89845637517,27590.83,0.0
2009-12-25,2009,4,12,52,4,25,359,0.0,0,9768.523076923077,8949.55,4758.65,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,10748.80581920904,4335.855315644717,21788.65,18349.83,21298.86,8271.198571428573,8586.943495647783,21788.65,15363.695555555556,8157.570496625474,27590.83,0.0
2009-12-28,2009,4,12,53,0,28,362,0.0,0,11214.961758241758,11278.44,5378.174999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,10748.80581920904,4335.855315644717,17619.64,22719.3,21298.86,5158.534285714287,6586.401035213547,17619.64,14555.080000000002,8675.960007184605,27590.83,0.0
2009-12-29,2009,4,12,53,1,29,363,0.0,0,13113.015434782608,11743.48,5727.402499999998,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,10748.80581920904,4335.855315644717,10503.84,16452.29,21298.86,2641.4428571428575,3813.6847255583903,10503.84,13827.326000000001,9050.033186763463,27590.83,0.0
2009-12-30,2009,4,12,53,2,30,364,0.0,0,12825.815108695651,11861.09,5986.35,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,10748.80581920904,4335.855315644717,4394.85,20138.91,21298.86,1140.8942857142858,1666.5111533166603,4394.85,13168.881904761905,9322.685600462788,27590.83,0.0
2009-12-31,2009,4,12,53,3,31,365,0.0,0,15515.356263736263,14734.26,5065.914999999999,13071.652826086956,15740.75,20210.784999999996,17421.48202247191,18716.37,10218.68,10748.80581920904,4335.855315644717,1720.8200000000002,15029.210000000001,21298.86,513.0585714285714,877.2803368448132,1870.5900000000001,12570.296363636364,9521.369660431037,27590.83,0.0
2010-01-01,2010,1,1,53,4,1,1,0.0,0,9768.523076923077,8949.55,4758.65,8522.693571428572,9077.04,3208.3875000000007,10074.614140625,9940.83,3699.4249999999993,10748.80581920904,4335.855315644717,1870.5900000000001,18359.15,21298.86,267.2271428571429,707.0165635665189,1870.5900000000001,12023.761739130436,9664.669332839285,27590.83,0.0
2010-01-04,2010,1,1,1,0,4,4,4362.4,0,11214.961758241758,11278.44,5378.174999999999,8522.693571428572,9077.04,3208.3875000000007,10074.614140625,9940.83,3699.4249999999993,10748.80581920904,4335.855315644717,0.0,18429.95,21298.86,0.0,0.0,0.0,11522.771666666667,9765.679463845361,27590.83,18.0
