Date,Year,Quarter,Month,Week,Weekday,Day,DayOfYear,Revenue,PreChristmas,WeekdayRevenue_mean,WeekdayRevenue_median,WeekdayRevenue_IQR,MonthRevenue_mean,MonthRevenue_median,MonthRevenue_IQR,QuarterRevenue_mean,QuarterRevenue_median,QuarterRevenue_IQR,PreChristmasRevenue_mean,PreChristmasRevenue_std,RevenueLag_7d,RevenueLag_14d,RevenueLag_30d,RollingMean_7d,RollingStd_7d,RollingMax_7d,RollingMean_30d,RollingStd_30d,RollingMax_30d,UnitPrice_median,UnitPrice_std
2010-03-15,2010,1,3,11,0,15,74,102.0,0,149.31428571428572,114.75,191.25,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,102.0,0.0,102.0,102.0,0.0,102.0,12.75,0.0
2010-03-16,2010,1,3,11,1,16,75,293.25,0,163.9279220779221,140.25,178.5,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,102.0,0.0,102.0,102.0,0.0,102.0,12.75,0.0
2010-03-17,2010,1,3,11,2,17,76,267.75,0,185.7655844155844,178.5,178.5,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,197.625,135.23417190192723,293.25,197.625,135.23417190192723,293.25,12.75,0.0
2010-03-18,2010,1,3,11,3,18,77,267.75,0,226.81842105263158,223.125,191.25,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,221.0,103.84272964440024,293.25,221.0,103.84272964440024,293.25,12.75,0.0
2010-03-19,2010,1,3,11,4,19,78,369.75,0,136.92039473684213,127.5,105.1875,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,232.6875,87.95035886794322,293.25,232.6875,87.95035886794322,293.25,12.75,0.0
2010-03-22,2010,1,3,12,0,22,81,51.0,0,149.31428571428572,114.75,191.25,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,260.1,97.76847651467214,369.75,260.1,97.76847651467214,369.75,12.75,0.0
2010-03-23,2010,1,3,12,1,23,82,216.75,0,163.9279220779221,140.25,178.5,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,225.25,122.20505308701438,369.75,225.25,122.20505308701438,369.75,12.75,0.0
2010-03-24,2010,1,3,12,2,24,83,63.75,0,185.7655844155844,178.5,178.5,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,102.0,102.0,102.0,224.03571428571428,111.6036913752024,369.75,224.03571428571428,111.6036913752024,369.75,12.75,0.0
2010-03-25,2010,1,3,12,3,25,84,521.1,0,226.81842105263158,223.125,191.25,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,293.25,102.0,102.0,218.57142857142858,119.24910152401867,369.75,204.0,117.8451617286732,369.75,12.75,0.4500000000000001
2010-03-26,2010,1,3,12,4,26,85,229.5,0,136.92039473684213,127.5,105.1875,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,267.75,102.0,102.0,251.12142857142857,165.2534514443971,521.1,239.23333333333332,152.7220903307704,521.1,12.75,0.0
2010-03-29,2010,1,3,13,0,29,88,102.0,0,149.31428571428572,114.75,191.25,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,267.75,102.0,102.0,245.65714285714284,165.24435801909502,521.1,238.26,144.02066171213073,521.1,12.75,0.0
2010-03-30,2010,1,3,13,1,30,89,293.25,0,163.9279220779221,140.25,178.5,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,369.75,102.0,102.0,221.97857142857143,173.23334180891885,521.1,225.87272727272727,142.67321290914487,521.1,12.75,0.0
2010-03-31,2010,1,3,13,2,31,90,253.35,0,185.7655844155844,178.5,178.5,201.88055555555556,186.625,191.25,149.8564935064935,127.5,140.25,154.56728187919464,112.2284078728037,51.0,102.0,102.0,211.04999999999998,164.55289423161173,521.1,231.48749999999998,137.4170313729839,521.1,12.75,0.6363961030678928
2010-04-01,2010,2,4,13,3,1,91,344.25,0,226.81842105263158,223.125,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,216.75,102.0,102.0,239.95714285714286,148.76707585061573,521.1,233.16923076923075,131.70644368326217,521.1,12.75,0.0
2010-04-02,2010,2,4,13,4,2,92,0.0,0,136.92039473684213,127.5,105.1875,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,63.75,102.0,102.0,258.1714285714286,153.19158173439465,521.1,241.10357142857143,129.97533266604225,521.1,12.75,0.0
2010-04-05,2010,2,4,14,0,5,95,0.0,0,149.31428571428572,114.75,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,521.1,293.25,102.0,249.06428571428572,167.868092348044,521.1,225.03,139.8652844193808,521.1,12.75,0.0
2010-04-06,2010,2,4,14,1,6,96,114.75,0,163.9279220779221,140.25,178.5,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,229.5,267.75,102.0,174.62142857142857,140.42530297024715,344.25,210.965625,146.36615355419437,521.1,12.75,0.0
2010-04-07,2010,2,4,14,2,7,97,165.75,0,185.7655844155844,178.5,178.5,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,102.0,267.75,102.0,158.22857142857143,139.6468428367992,344.25,205.30588235294115,143.62682862451322,521.1,12.75,0.0
2010-04-08,2010,2,4,14,3,8,98,393.6,0,226.81842105263158,223.125,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,293.25,369.75,102.0,167.33571428571426,137.42985093701958,344.25,203.10833333333332,139.65006607904758,521.1,12.75,0.5692099788303081
2010-04-09,2010,2,4,14,4,9,99,76.5,0,136.92039473684213,127.5,105.1875,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,253.35,51.0,102.0,181.67142857142858,156.6441371845295,393.6,213.1342105263158,142.57817061823351,521.1,12.75,0.0
2010-04-12,2010,2,4,15,0,12,102,165.75,0,149.31428571428572,114.75,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,344.25,216.75,102.0,156.40714285714284,157.41639958131063,393.6,206.3025,142.09875872175365,521.1,12.75,0.0
2010-04-13,2010,2,4,15,1,13,103,318.75,0,163.9279220779221,140.25,178.5,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,0.0,63.75,102.0,130.90714285714287,134.7405761348186,393.6,204.37142857142857,138.78315511205653,521.1,12.75,0.0
2010-04-14,2010,2,4,15,2,14,104,165.75,0,185.7655844155844,178.5,178.5,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,0.0,521.1,102.0,176.44285714285712,136.9695143349163,393.6,209.57045454545457,137.61628559762946,521.1,12.75,0.0
2010-04-15,2010,2,4,15,3,15,105,344.25,0,226.81842105263158,223.125,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,114.75,229.5,102.0,200.12142857142857,113.74050823820733,393.6,207.66521739130437,134.76238805830752,521.1,12.75,0.0
2010-04-16,2010,2,4,15,4,16,106,102.0,0,136.92039473684213,127.5,105.1875,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,165.75,102.0,102.0,232.90714285714284,118.02673577263269,393.6,213.35625000000002,134.71675948198163,521.1,12.75,0.0
2010-04-19,2010,2,4,16,0,19,109,229.5,0,149.31428571428572,114.75,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,393.6,293.25,102.0,223.79999999999998,126.24571279849465,393.6,208.90200000000002,133.74760549258443,521.1,12.75,0.0
2010-04-20,2010,2,4,16,1,20,110,127.5,0,163.9279220779221,140.25,178.5,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,76.5,253.35,102.0,200.35714285714286,102.4543452330981,344.25,209.69423076923078,131.10760262236747,521.1,12.75,0.0
2010-04-21,2010,2,4,16,2,21,111,446.25,0,185.7655844155844,178.5,178.5,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,165.75,344.25,102.0,207.64285714285714,93.61032452215328,344.25,206.65,129.5310714135356,521.1,12.75,0.0
2010-04-22,2010,2,4,16,3,22,112,229.5,0,226.81842105263158,223.125,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,318.75,0.0,102.0,247.71428571428572,126.83038448483639,446.25,215.20714285714286,134.93395209720728,521.1,12.75,0.0
2010-04-23,2010,2,4,16,4,23,113,127.5,0,136.92039473684213,127.5,105.1875,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,165.75,0.0,102.0,234.96428571428572,122.92506428133939,446.25,215.70000000000002,132.52908979864438,521.1,12.75,0.0
2010-04-26,2010,2,4,17,0,26,116,280.5,0,149.31428571428572,114.75,191.25,194.76976744186047,165.75,184.875,169.8569230769231,165.75,197.625,154.56728187919464,112.2284078728037,344.25,114.75,102.0,229.5,127.28732262091144,446.25,212.76000000000002,131.2159055224212,521.1,12.75,0.0
