iter	RMSE
0	499.2616506
1	424.9624578
2	358.6326627
3	312.8907864
4	280.0043918
5	245.3722291
6	221.5763241
7	202.865607
8	190.4476542
9	178.9908638
10	172.6147546
11	163.4243161
12	156.2240369
13	150.2827791
14	145.5842971
15	143.4985068
16	140.3451708
17	137.8112788
18	135.1365542
19	133.0233565
20	130.9612269
21	129.3919534
22	128.0255861
23	127.3926627
24	125.3985649
25	124.373593
26	122.4347304
27	121.9615481
28	121.0800816
29	120.047727
30	118.0546748
31	117.3363337
32	114.6116076
33	112.0405319
34	110.8633554
35	110.6314362
36	108.4275928
37	107.9691262
38	107.5417007
39	104.6482223
40	103.2505946
41	101.203684
42	100.666507
43	99.75000938
44	98.5719515
45	97.06696997
46	94.83860744
47	93.82938843
48	92.4229192
49	91.04518553
50	89.57305673
51	88.81853131
52	88.52183545
53	88.43124683
54	88.19139949
55	88.11738422
56	87.47187523
57	87.40793386
58	86.20389814
59	86.15510402
60	85.41162616
61	83.50682073
62	83.04301616
63	82.51112432
64	79.97527058
65	79.68533132
66	79.1018565
67	78.73385923
68	77.06731848
69	77.03314847
70	76.18571667
71	74.76379193
72	73.29978089
73	73.26272697
74	72.22585341
75	72.01748491
76	70.95023618
77	70.79107251
78	70.11113811
79	69.41333006
80	69.25044676
81	68.04710022
82	67.90436847
83	66.92177241
84	66.05074753
85	65.88764634
86	64.40829399
87	63.25243186
88	63.05129002
89	62.63923905
90	62.00127331
91	61.90528937
92	61.82167836
93	61.47199062
94	60.60862589
95	59.81904785
96	59.66678422
97	59.61646015
98	59.54160293
99	59.06896717
