Date,Year,Quarter,Month,Week,Weekday,Day,DayOfYear,Revenue,PreChristmas,WeekdayRevenue_mean,WeekdayRevenue_median,WeekdayRevenue_IQR,MonthRevenue_mean,MonthRevenue_median,MonthRevenue_IQR,QuarterRevenue_mean,QuarterRevenue_median,QuarterRevenue_IQR,PreChristmasRevenue_mean,PreChristmasRevenue_std,RevenueLag_7d,RevenueLag_14d,RevenueLag_30d,RollingMean_7d,RollingStd_7d,RollingMax_7d,RollingMean_30d,RollingStd_30d,RollingMax_30d,UniqueCustomers
2009-12-01,2009,4,12,49,1,1,335,21295.61,1,13140.664166666667,11548.115,5785.575000000001,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,,0.0,,,0.0,,79.0
2009-12-02,2009,4,12,49,2,2,336,20800.55,1,12369.126041666668,11869.78,5797.93,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,21295.61,0.0,21295.61,21295.61,0.0,21295.61,86.0
2009-12-03,2009,4,12,49,3,3,337,27589.53,1,15114.165416666669,14577.54,5030.915000000001,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,21048.08,350.0602830942144,21295.61,21048.08,350.0602830942144,21295.61,96.0
2009-12-04,2009,4,12,49,4,4,338,19470.15,1,9699.178958333334,8698.96,3767.045000000002,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,23228.563333333335,3784.810933419702,27589.53,23228.563333333335,3784.810933419702,27589.53,69.0
2009-12-07,2009,4,12,50,0,7,341,18349.18,1,11487.295319148936,11753.04,6541.135000000001,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,22288.96,3616.8052519500307,27589.53,22288.96,3616.8052519500307,27589.53,69.0
2009-12-08,2009,4,12,50,1,8,342,22719.3,1,13140.664166666667,11548.115,5785.575000000001,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,21501.004,3593.79095977771,27589.53,21501.004,3593.79095977771,27589.53,72.0
2009-12-09,2009,4,12,50,2,9,343,16452.29,1,12369.126041666668,11869.78,5797.93,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,,,,21704.053333333333,3252.636001870892,27589.53,21704.053333333333,3252.636001870892,27589.53,67.0
2009-12-10,2009,4,12,50,3,10,344,20137.61,1,15114.165416666669,14577.54,5030.915000000001,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,21295.61,,,20953.801428571427,3571.626087850502,27589.53,20953.801428571427,3571.626087850502,27589.53,74.0
2009-12-11,2009,4,12,50,4,11,345,15027.26,1,9699.178958333334,8698.96,3767.045000000002,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,20800.55,,,20788.372857142855,3579.9638390013297,27589.53,20851.7775,3319.250665448237,27589.53,51.0
2009-12-14,2009,4,12,51,0,14,348,18359.15,1,11487.295319148936,11753.04,6541.135000000001,12022.734782608697,16452.29,18943.795000000002,16012.464999999998,18559.0,8493.822500000002,17048.520327868853,6702.103127104946,27589.53,,,19963.617142857143,4189.780536884615,27589.53,20204.60888888889,3661.9245975901945,27589.53,62.0
