Date,Year,Quarter,Month,Week,Weekday,Day,DayOfYear,Revenue,PreChristmas,WeekdayRevenue_mean,WeekdayRevenue_median,WeekdayRevenue_IQR,MonthRevenue_mean,MonthRevenue_median,MonthRevenue_IQR,QuarterRevenue_mean,QuarterRevenue_median,QuarterRevenue_IQR,PreChristmasRevenue_mean,PreChristmasRevenue_std,RevenueLag_7d,RevenueLag_14d,RevenueLag_30d,RollingMean_7d,RollingStd_7d,RollingMax_7d,RollingMean_30d,RollingStd_30d,RollingMax_30d,UniqueProducts
2009-12-01,2009,4,12,49,1,1,335,557.08,1,337.30083333333334,0.0,594.175,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,,0.0,,,0.0,,26.0
2009-12-02,2009,4,12,49,2,2,336,0.0,1,337.73,0.0,347.0575,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,557.08,0.0,557.08,557.08,0.0,557.08,0.0
2009-12-03,2009,4,12,49,3,3,337,0.0,1,417.13562499999995,0.0,618.7750000000001,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,278.54,393.91504566340194,557.08,278.54,393.91504566340194,557.08,0.0
2009-12-04,2009,4,12,49,4,4,338,0.0,1,179.588125,0.0,30.65,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,185.69333333333336,321.63028796015675,557.08,185.69333333333336,321.63028796015675,557.08,0.0
2009-12-05,2009,4,12,49,5,5,339,0.0,1,0.0,0.0,0.0,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,139.27,278.54,557.08,139.27,278.54,557.08,0.0
2009-12-06,2009,4,12,49,6,6,340,0.0,1,246.6620833333333,0.0,0.0,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,111.41600000000001,249.1337497811166,557.08,111.41600000000001,249.1337497811166,557.08,0.0
2009-12-07,2009,4,12,50,0,7,341,1257.7,1,333.14276595744684,0.0,445.495,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,,,,92.84666666666668,227.42695765160883,557.08,92.84666666666668,227.42695765160883,557.08,45.0
2009-12-08,2009,4,12,50,1,8,342,426.15,1,337.30083333333334,0.0,594.175,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,557.08,,,259.25428571428574,486.76789879288276,1257.7,259.25428571428574,486.76789879288276,1257.7,12.0
2009-12-09,2009,4,12,50,2,9,343,0.0,1,337.73,0.0,347.0575,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,0.0,,,240.54999999999998,475.80860910664495,1257.7,280.11625,454.5060632610653,1257.7,0.0
2009-12-10,2009,4,12,50,3,10,344,263.34000000000003,1,417.13562499999995,0.0,618.7750000000001,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,0.0,,,240.54999999999998,475.80860910664495,1257.7,248.9922222222222,435.2839731651563,1257.7,13.0
2009-12-11,2009,4,12,50,4,11,345,0.0,1,179.588125,0.0,30.65,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,0.0,,,278.17,463.88059271756566,1257.7,250.427,410.414745675369,1257.7,0.0
2009-12-12,2009,4,12,50,5,12,346,0.0,1,0.0,0.0,0.0,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,0.0,,,278.17,463.88059271756566,1257.7,227.6609090909091,396.60746459073476,1257.7,0.0
2009-12-13,2009,4,12,50,6,13,347,0.0,1,246.6620833333333,0.0,0.0,154.31,0.0,0.0,410.8062903225806,0.0,419.9625,436.5861176470588,913.7953315692979,0.0,,,278.17,463.88059271756566,1257.7,208.68916666666667,383.81875162535044,1257.7,0.0
