Date,Year,Quarter,Month,Week,Weekday,Day,DayOfYear,Revenue,PreChristmas,WeekdayRevenue_mean,WeekdayRevenue_median,WeekdayRevenue_IQR,MonthRevenue_mean,MonthRevenue_median,MonthRevenue_IQR,QuarterRevenue_mean,QuarterRevenue_median,QuarterRevenue_IQR,PreChristmasRevenue_mean,PreChristmasRevenue_std,RevenueLag_7d,RevenueLag_14d,RevenueLag_30d,RollingMean_7d,RollingStd_7d,RollingMax_7d,RollingMean_30d,RollingStd_30d,RollingMax_30d,UnitPrice_median,UnitPrice_std
2010-03-15,2010,1,3,11,0,15,74,102.0,0,168.35454545454544,178.5,229.5,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,,0.0,,,0.0,,12.75,
2010-03-16,2010,1,3,11,1,16,75,293.25,0,198.20454545454547,216.75,153.0,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,102.0,0.0,102.0,102.0,0.0,102.0,12.75,0.0
2010-03-17,2010,1,3,11,2,17,76,267.75,0,214.33181818181816,240.6,153.0,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,197.625,135.23417190192723,293.25,197.625,135.23417190192723,293.25,12.75,0.0
2010-03-18,2010,1,3,11,3,18,77,267.75,0,258.7636363636364,267.75,178.5,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,221.0,103.84272964440024,293.25,221.0,103.84272964440024,293.25,12.75,0.0
2010-03-19,2010,1,3,11,4,19,78,369.75,0,149.96818181818182,127.5,153.0,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,232.6875,87.95035886794322,293.25,232.6875,87.95035886794322,293.25,12.75,0.0
2010-03-22,2010,1,3,12,0,22,81,51.0,0,168.35454545454544,178.5,229.5,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,260.1,97.76847651467214,369.75,260.1,97.76847651467214,369.75,12.75,0.0
2010-03-23,2010,1,3,12,1,23,82,216.75,0,198.20454545454547,216.75,153.0,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,,,,225.25,122.20505308701438,369.75,225.25,122.20505308701438,369.75,12.75,0.0
2010-03-24,2010,1,3,12,2,24,83,63.75,0,214.33181818181816,240.6,153.0,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,102.0,,,224.03571428571428,111.6036913752024,369.75,224.03571428571428,111.6036913752024,369.75,12.75,0.0
2010-03-25,2010,1,3,12,3,25,84,521.1,0,258.7636363636364,267.75,178.5,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,293.25,,,218.57142857142858,119.24910152401867,369.75,204.0,117.8451617286732,369.75,12.75,0.4500000000000001
2010-03-26,2010,1,3,12,4,26,85,229.5,0,149.96818181818182,127.5,153.0,233.16923076923075,253.35,191.25,233.16923076923075,253.35,191.25,180.525,124.54769610623833,267.75,,,251.12142857142857,165.2534514443971,521.1,239.23333333333332,152.7220903307704,521.1,12.75,0.0
